,SAMPLE,SERIAL,PERNUM,wage,sex,age,bpl,hisp,speakeng,asian,black,white,unempl,typhrs,degr,edu,grad,opl,inclvl,natage,yrusa,ageimmig,selfemp
190042,202201,840264,1,350000,1,59,500,1,4,1,0,0,0,50,1,18,1,1,1,44,48,11,0
190044,202201,840282,1,212000,1,50,502,1,4,1,0,0,0,50,1,16,0,1,0,30,47,3,0
190045,202201,840282,2,275000,0,52,421,0,4,0,0,1,0,50,1,20,1,1,0,34,47,5,0
190049,202201,840295,1,75000,1,61,250,1,4,0,0,1,0,40,1,16,0,1,1,29,55,6,0
190050,202201,840295,2,0,0,70,260,0,4,0,0,0,0,30,1,18,1,0,1,45,60,10,1
190054,202201,840299,3,6000,1,34,300,1,5,0,0,0,0,12,0,12,0,1,1,16,17,17,1
190058,202201,840304,1,21000,1,46,300,1,5,0,0,0,0,25,0,12,0,1,1,38,43,3,0
190066,202201,840325,1,72000,0,28,260,0,3,0,1,0,0,40,1,16,0,0,1,17,19,9,0
190072,202201,840343,2,800,0,39,200,0,1,0,0,0,0,10,0,0,0,1,1,28,29,10,0
190078,202201,840351,1,201000,1,54,260,1,4,0,1,0,0,35,1,18,1,0,1,26,40,14,0
190079,202201,840351,2,5000,0,24,300,0,4,0,0,0,0,30,1,18,1,1,1,10,14,10,0
190080,202201,840353,1,55000,1,66,434,1,3,0,0,1,0,91,1,16,0,1,0,46,52,14,0
190083,202201,840356,2,180000,0,65,434,0,4,0,0,1,0,65,1,16,0,1,0,39,53,12,1
190084,202201,840358,1,19000,1,38,500,1,5,1,0,0,0,40,0,13,0,1,1,12,21,17,0
190085,202201,840358,2,15000,0,38,500,0,6,1,0,0,0,30,0,0,0,1,1,12,21,17,0
190089,202201,840366,1,77000,0,47,436,0,4,0,0,1,0,50,0,12,0,1,0,22,44,3,0
190101,202201,840400,2,10000,0,32,300,0,3,0,0,0,0,25,0,12,0,1,1,1,25,7,0
190103,202201,840407,2,100000,1,61,210,1,4,0,0,0,0,40,0,12,0,1,1,29,55,6,0
190120,202201,840459,2,0,0,60,599,0,3,0,0,1,0,50,1,18,1,1,1,39,43,17,1
190126,202201,840480,2,5000,1,45,455,1,4,0,0,1,0,40,1,16,0,1,0,31,31,14,0
190134,202201,840494,2,75000,1,34,515,1,4,1,0,0,0,40,1,18,1,1,1,30,31,3,0
190143,202201,840519,3,20000,0,24,210,0,4,0,0,0,0,25,0,13,0,1,1,2,16,8,0
190146,202201,840521,3,36000,0,39,500,0,4,1,0,0,0,40,1,16,0,1,1,3,23,16,0
190152,202201,840527,1,2000,0,59,260,0,4,0,0,0,0,40,0,12,0,0,1,35,46,13,1
190174,202201,840574,1,138000,1,56,453,1,3,0,0,1,0,40,1,16,0,1,0,38,54,2,0
190176,202201,840585,1,30000,0,41,500,0,4,1,0,0,0,40,1,16,0,1,1,18,24,17,0
190177,202201,840590,1,20000,0,55,410,0,6,0,0,1,0,24,1,16,0,0,0,37,42,13,0
190179,202201,840596,1,60000,0,29,260,0,4,0,1,0,0,40,0,12,0,0,1,5,16,13,0
